coordinate_x,coordinate_y,coordinate_z,y_probe
43.3,75.0,-50.0,439.25
35.22,79.11,-50.0,439.36
26.76,82.36,-50.0,439.48
18.01,84.71,-50.0,439.56
9.05,86.13,-50.0,439.51
0.0,86.6,-50.0,439.51
-9.05,86.13,-50.0,439.57
-18.01,84.71,-50.0,439.49
-26.76,82.36,-50.0,439.43
-35.22,79.11,-50.0,439.33
-43.3,75.0,-50.0,439.18
-50.9,70.06,-50.0,439.08
-57.95,64.36,-50.0,438.88
-64.36,57.95,-50.0,438.73
-70.06,50.9,-50.0,438.59
-75.0,43.3,-50.0,438.35
-79.11,35.22,-50.0,438.3
-82.36,26.76,-50.0,438.16
-84.71,18.01,-50.0,438.11
-86.13,9.05,-50.0,438.1
-86.6,0.0,-50.0,438.07
-86.13,-9.05,-50.0,438.16
-84.71,-18.01,-50.0,438.1
-82.36,-26.76,-50.0,438.23
-79.11,-35.22,-50.0,438.33
-75.0,-43.3,-50.0,438.47
-70.06,-50.9,-50.0,438.69
-64.36,-57.95,-50.0,438.9
-57.95,-64.36,-50.0,439.09
-50.9,-70.06,-50.0,439.24
-43.3,-75.0,-50.0,439.53
-35.22,-79.11,-50.0,439.58
-26.76,-82.36,-50.0,439.81
-18.01,-84.71,-50.0,439.92
-9.05,-86.13,-50.0,439.94
0.0,-86.6,-50.0,439.94
9.05,-86.13,-50.0,439.95
18.01,-84.71,-50.0,439.89
26.76,-82.36,-50.0,439.8
35.22,-79.11,-50.0,439.65
43.3,-75.0,-50.0,439.51
50.9,-70.06,-50.0,439.29
57.95,-64.36,-50.0,439.16
64.36,-57.95,-50.0,439.03
70.06,-50.9,-50.0,438.79
75.0,-43.3,-50.0,438.63
79.11,-35.22,-50.0,438.45
82.36,-26.76,-50.0,438.35
84.71,-18.01,-50.0,438.27
86.13,-9.05,-50.0,438.13
91.65,0.0,-40.0,438.41
91.15,9.58,-40.0,438.4
89.65,19.06,-40.0,438.44
87.16,28.32,-40.0,438.6
83.73,37.28,-40.0,438.61
79.37,45.82,-40.0,438.84
74.15,53.87,-40.0,439.03
68.11,61.33,-40.0,439.25
61.33,68.11,-40.0,439.37
53.87,74.15,-40.0,439.56
45.83,79.37,-40.0,439.76
37.28,83.73,-40.0,439.78
28.32,87.16,-40.0,439.99
19.06,89.65,-40.0,440.12
9.58,91.15,-40.0,440.11
0.0,91.65,-40.0,440.07
-9.58,91.15,-40.0,440.16
-19.06,89.65,-40.0,440.12
-28.32,87.16,-40.0,440.02
-37.28,83.73,-40.0,439.85
-45.82,79.37,-40.0,439.72
-53.87,74.15,-40.0,439.56
-61.33,68.11,-40.0,439.39
-68.11,61.33,-40.0,439.16
-74.15,53.87,-40.0,438.99
-79.37,45.82,-40.0,438.8
-83.73,37.28,-40.0,438.65
-87.16,28.32,-40.0,438.55
-89.65,19.06,-40.0,438.42
-91.15,9.58,-40.0,438.37
-91.65,0.0,-40.0,438.33
-91.15,-9.58,-40.0,438.49
-89.65,-19.06,-40.0,438.52
-87.16,-28.32,-40.0,438.65
-83.73,-37.28,-40.0,438.77
-79.37,-45.83,-40.0,438.91
-74.15,-53.87,-40.0,439.11
-68.11,-61.33,-40.0,439.27
-61.33,-68.11,-40.0,439.5
-53.87,-74.15,-40.0,439.81
-45.83,-79.37,-40.0,439.97
-37.28,-83.73,-40.0,440.13
-28.32,-87.16,-40.0,440.21
-19.06,-89.65,-40.0,440.33
-9.58,-91.15,-40.0,440.3
0.0,-91.65,-40.0,440.42
9.58,-91.15,-40.0,440.31
19.06,-89.65,-40.0,440.37
28.32,-87.16,-40.0,440.27
37.28,-83.73,-40.0,440.17
45.83,-79.37,-40.0,439.88
53.87,-74.15,-40.0,439.76
61.33,-68.11,-40.0,439.61
68.11,-61.33,-40.0,439.31
74.15,-53.87,-40.0,439.18
79.37,-45.83,-40.0,438.95
83.73,-37.28,-40.0,438.78
87.16,-28.32,-40.0,438.64
89.65,-19.06,-40.0,438.5
91.15,-9.58,-40.0,438.5
95.39,0.0,-30.0,438.66
94.87,9.97,-30.0,438.7
93.31,19.83,-30.0,438.7
90.72,29.48,-30.0,438.85
87.14,38.8,-30.0,438.93
82.61,47.69,-30.0,439.14
77.17,56.07,-30.0,439.25
