coordinate_x,coordinate_y,coordinate_z,y_probe
43.3,75.0,-50.0,439.07
35.22,79.11,-50.0,439.27
26.76,82.36,-50.0,439.39
18.01,84.71,-50.0,439.41
9.05,86.13,-50.0,439.5
0.0,86.6,-50.0,439.54
-9.05,86.13,-50.0,439.5
-18.01,84.71,-50.0,439.53
-26.76,82.36,-50.0,439.48
-35.22,79.11,-50.0,439.37
-43.3,75.0,-50.0,439.26
-50.9,70.06,-50.0,439.1
-57.95,64.36,-50.0,438.93
-64.36,57.95,-50.0,438.74
-70.06,50.9,-50.0,438.59
-75.0,43.3,-50.0,438.49
-79.11,35.22,-50.0,438.39
-82.36,26.76,-50.0,438.28
-84.71,18.01,-50.0,438.21
-86.13,9.05,-50.0,438.2
-86.6,0.0,-50.0,438.23
-86.13,-9.05,-50.0,438.24
-84.71,-18.01,-50.0,438.33
-82.36,-26.76,-50.0,438.41
-79.11,-35.22,-50.0,438.54
-75.0,-43.3,-50.0,438.85
-70.06,-50.9,-50.0,439.05
-64.36,-57.95,-50.0,439.27
-57.95,-64.36,-50.0,439.52
-50.9,-70.06,-50.0,439.62
-43.3,-75.0,-50.0,439.75
-35.22,-79.11,-50.0,440.0
-26.76,-82.36,-50.0,440.1
-18.01,-84.71,-50.0,440.25
-9.05,-86.13,-50.0,440.29
0.0,-86.6,-50.0,440.37
9.05,-86.13,-50.0,440.36
18.01,-84.71,-50.0,440.39
26.76,-82.36,-50.0,440.23
35.22,-79.11,-50.0,440.07
43.3,-75.0,-50.0,439.99
50.9,-70.06,-50.0,439.73
57.95,-64.36,-50.0,439.57
64.36,-57.95,-50.0,439.42
70.06,-50.9,-50.0,439.09
75.0,-43.3,-50.0,438.94
79.11,-35.22,-50.0,438.67
82.36,-26.76,-50.0,438.56
84.71,-18.01,-50.0,438.38
86.13,-9.05,-50.0,438.26
91.65,0.0,-40.0,438.52
91.15,9.58,-40.0,438.44
89.65,19.06,-40.0,438.49
87.16,28.32,-40.0,438.5
83.73,37.28,-40.0,438.62
79.37,45.82,-40.0,438.73
74.15,53.87,-40.0,438.91
68.11,61.33,-40.0,439.09
61.33,68.11,-40.0,439.23
53.87,74.15,-40.0,439.39
45.83,79.37,-40.0,439.51
37.28,83.73,-40.0,439.72
28.32,87.16,-40.0,439.87
19.06,89.65,-40.0,439.98
9.58,91.15,-40.0,440.0
0.0,91.65,-40.0,440.06
-9.58,91.15,-40.0,440.0
-19.06,89.65,-40.0,439.95
-28.32,87.16,-40.0,439.91
-37.28,83.73,-40.0,439.78
-45.82,79.37,-40.0,439.6
-53.87,74.15,-40.0,439.44
-61.33,68.11,-40.0,439.35
-68.11,61.33,-40.0,439.16
-74.15,53.87,-40.0,439.0
-79.37,45.82,-40.0,438.85
-83.73,37.28,-40.0,438.76
-87.16,28.32,-40.0,438.62
-89.65,19.06,-40.0,438.53
-91.15,9.58,-40.0,438.54
-91.65,0.0,-40.0,438.55
-91.15,-9.58,-40.0,438.52
-89.65,-19.06,-40.0,438.6
-87.16,-28.32,-40.0,438.8
-83.73,-37.28,-40.0,439.0
-79.37,-45.83,-40.0,439.15
-74.15,-53.87,-40.0,439.3
-68.11,-61.33,-40.0,439.6
-61.33,-68.11,-40.0,439.81
-53.87,-74.15,-40.0,440.01
-45.83,-79.37,-40.0,440.2
-37.28,-83.73,-40.0,440.33
-28.32,-87.16,-40.0,440.46
-19.06,-89.65,-40.0,440.66
-9.58,-91.15,-40.0,440.71
0.0,-91.65,-40.0,440.72
9.58,-91.15,-40.0,440.75
19.06,-89.65,-40.0,440.7
